Country,Continent,2022 Population,2020 Population,2015 Population,2010 Population,Area,Destiny,Growth Rate,happiness,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP,Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,total_alcohol_consumtion,iq
Afghanistan,Asia,41128771,38972230,33753499,28189672,652230,63.0587,1.0257,3.203,0.517,0.361,0.0,0.158,0.025,0.0,23.06,163.07,700.0,36.0,3.2,12.13,0.22,87.65,1.0,46.6,20.34,0.38,0.24,0.38,0.21,82.12
Albania,Europe,2842321,2866849,2882481,2913399,28748,98.8702,0.9957,4.719,0.848,0.874,0.383,0.178,0.027,1.26,-4.93,21.52,4500.0,86.5,71.2,21.09,4.42,74.49,3.0,15.11,5.22,0.232,0.188,0.579,7.17,81.75
Algeria,Africa,44903225,43451666,39543154,35856344,2381741,18.8531,1.0164,5.211,1.16,0.785,0.086,0.073,0.114,0.04,-0.39,31.0,6000.0,70.0,78.1,3.22,0.25,96.53,1.0,17.14,4.61,0.101,0.6,0.298,0.95,76.0
American Samoa,Oceania,44273,46189,51368,54849,199,222.4774,0.9831,,,,,,,58.29,-20.71,9.27,8000.0,97.0,259.5,10.0,15.0,75.0,2.0,22.46,3.27,,,,,
Andorra,Europe,79824,77700,71746,71519,468,170.5641,1.01,,,,,,,0.0,6.6,4.05,19000.0,100.0,497.2,2.22,0.0,97.78,3.0,8.71,6.25,,,,11.02,95.2
Angola,Africa,35588987,33428485,28127721,23364185,1246700,28.5466,1.0315,,,,,,,0.13,0.0,191.19,1900.0,42.0,7.8,2.41,0.24,97.35,,45.11,24.2,0.096,0.658,0.246,6.94,75.1
Anguilla,North America,15857,15585,14525,13172,91,174.2527,1.0066,,,,,,,59.8,10.76,21.03,8600.0,95.0,460.0,0.0,0.0,100.0,2.0,14.17,5.34,0.04,0.18,0.78,,
Argentina,South America,45510318,45036032,43257065,41100123,2780400,16.3683,1.0052,6.086,1.432,0.881,0.471,0.066,0.05,0.18,0.61,15.18,11200.0,97.1,220.4,12.31,0.48,87.21,3.0,16.73,7.55,0.095,0.358,0.547,9.65,86.63
Armenia,Asia,2780469,2805608,2878595,2946293,29743,93.4831,0.9962,4.559,1.055,0.815,0.283,0.095,0.064,0.0,-6.47,23.28,3500.0,98.6,195.7,17.55,2.3,80.15,4.0,12.07,8.23,0.239,0.343,0.418,5.55,88.82
Aruba,North America,106445,106585,104257,100341,180,591.3611,0.9991,,,,,,,35.49,0.0,5.89,28000.0,97.0,516.1,10.53,0.0,89.47,2.0,11.03,6.68,0.004,0.333,0.663,,
Australia,Oceania,26177413,25670051,23820236,22019168,7692024,3.4032,1.0099,7.228,1.548,1.036,0.557,0.332,0.29,0.34,3.98,4.69,29000.0,100.0,565.5,6.55,0.04,93.41,1.0,12.14,7.51,0.038,0.262,0.7,10.51,99.24
Austria,Europe,8939617,8907777,8642421,8362829,83871,106.5877,1.002,7.246,1.475,1.016,0.532,0.244,0.226,0.0,2.0,4.66,30000.0,98.0,452.2,16.91,0.86,82.23,3.0,8.74,9.76,0.018,0.304,0.678,11.96,98.38
Azerbaijan,Asia,10358074,10284951,9863480,9237202,86600,119.6082,1.0044,5.208,1.147,0.769,0.351,0.035,0.182,0.0,-4.9,81.74,3400.0,97.0,137.1,19.63,2.71,77.66,1.0,20.74,9.75,0.141,0.457,0.402,4.41,84.81
Bahrain,Asia,1472233,1477469,1362142,1213645,765,1924.4876,1.0061,6.199,1.368,0.871,0.536,0.255,0.11,24.21,1.05,17.27,16900.0,89.1,281.3,2.82,5.63,91.55,1.0,17.8,4.14,0.005,0.387,0.608,1.09,83.6
Bangladesh,Asia,171186372,167420951,157830000,148391139,147570,1160.035,1.0108,4.456,0.928,0.723,0.527,0.166,0.143,0.4,-0.71,62.6,1900.0,43.1,7.3,62.11,3.07,34.82,2.0,29.8,8.27,0.199,0.198,0.603,0.019,74.33
Barbados,North America,281635,280693,278083,274711,430,654.9651,1.0015,,,,,,,22.51,-0.31,12.5,15700.0,97.4,481.9,37.21,2.33,60.46,2.0,12.71,8.67,0.06,0.16,0.78,9.69,91.6
