"rank","country","iq","pop2022"
"1","Japan","106.4800","125584.8380"
"2","Taiwan","106.4700","23888.5950"
"3","Singapore","105.8900","5943.5460"
"4","Hong Kong","105.3700","7604.2990"
"5","China","104.1000","1448471.4000"
"6","South Korea","102.3500","51329.8990"
"7","Belarus","101.6000","9432.8000"
"8","Finland","101.2000","5554.9600"
"9","Liechtenstein","101.0700","38.3870"
"11","Netherlands","100.7400","17211.4470"
"10","Germany","100.7400","83883.5960"
"12","Estonia","100.7200","1321.9100"
"13","Luxembourg","99.8700","642.3710"
"14","Macau","99.8200","667.4900"
"15","Cambodia","99.7500","17168.6390"
"16","Canada","99.5200","38388.4190"
"19","Switzerland","99.2400","8773.6370"
"18","Hungary","99.2400","9606.2590"
"17","Australia","99.2400","26068.7920"
"20","United Kingdom","99.1200","68497.9070"
"21","Greenland","98.8900","56.9730"
"22","North Korea","98.8200","25990.6790"
"23","Slovenia","98.6000","2078.0340"
"24","New Zealand","98.5700","4898.2030"
"25","Austria","98.3800","9066.7100"
"26","Iceland","98.2600","345.3930"
"27","Denmark","97.8300","5834.9500"
"28","Belgium","97.4900","11668.2780"
"29","United States","97.4300","334805.2690"
"30","Norway","97.1300","5511.3700"
"31","Sweden","97","10218.9710"
"32","France","96.6900","65584.5180"
"33","Poland","96.3500","37739.7850"
"34","Slovakia","96.3200","5460.1930"
"35","Russia","96.2900","145805.9470"
"36","Lithuania","95.8900","2661.7080"
"37","Croatia","95.7500","4059.2860"
"38","Andorra","95.2000","77.4630"
"39","Ireland","95.1300","5020.1990"
"40","Czech Republic","94.9200","10736.7840"
"41","Latvia","94.7900","1848.8370"
"42","Italy","94.2300","60262.7700"
"44","New Caledonia","93.9200","290.9150"
"43","Vanuatu","93.9200","321.8320"
"45","Spain","93.9000","46719.1420"
"46","Bermuda","93.4800","61.9390"
"47","Cyprus","93.3900","1223.3870"
"48","Portugal","92.7700","10140.5700"
"49","Israel","92.4300","8922.8920"
"50","Barbados","91.6000","288.0230"
"51","Malta","91.2700","444.0330"
"52","Myanmar","91.1800","55227.1430"
"53","Mongolia","91.0300","3378.0780"
"54","Bulgaria","90.9900","6844.5970"
"55","Greece","90.7700","10316.6370"
"56","Suriname","90.2900","596.8310"
"57","Ukraine","90.0700","43192.1220"
"58","Moldova","89.9800","4013.1710"
"59","Serbia","89.6000","8653.0160"
"60","Vietnam","89.5300","98953.5410"
"61","Iraq","89.2800","42164.9650"
"62","Uzbekistan","89.0100","34382.0840"
"63","Kazakhstan","88.8900","19205.0430"
"64","Thailand","88.8700","70078.2030"
"65","Armenia","88.8200","2971.9660"
"66","Bosnia and Herzegovina","88.5400","3249.3170"
"67","Costa Rica","88.3400","5182.3540"
"68","Bhutan","87.9400","787.9410"
"69","Chile","87.8900","19250.1950"
"70","Mexico","87.7300","131562.7720"
"71","Tajikistan","87.7100","9957.4640"
"72","Uruguay","87.5900","3496.0160"
"74","Brunei","87.5800","445.4310"
"73","Malaysia","87.5800","33181.0720"
"75","Bahamas","86.9900","400.5160"
"76","Romania","86.8800","19031.3350"
"77","Turkey","86.8000","85561.9760"
"78","Argentina","86.6300","46010.2340"
"79","Sri Lanka","86.6200","21575.8420"
"80","Mauritius","86.5600","1274.7270"
"81","Turkmenistan","85.8600","6201.9430"
"82","Montenegro","85.7800","627.9500"
"83","Trinidad and Tobago","85.6300","1406.5850"
"84","Azerbaijan","84.8100","10300.2050"
"85","Georgia","84.5000","3968.7380"
"86","Turks and Caicos Islands","84.2900","39.7410"
"87","Paraguay","84.0400","7305.8430"
"95","Cook Islands","83.9600","17.5710"
"94","Marshall Islands","83.9600","60.0570"
"93","Tonga","83.9600","107.7490"
"92","Micronesia","83.9600","117.4890"
"91","Kiribati","83.9600","123.4190"
"90","Samoa","83.9600","202.2390"
"89","Solomon Islands","83.9600","721.1590"
"88","Fiji","83.9600","909.4660"
"96","Cuba","83.9000","11305.6520"
"97","Bahrain","83.6000","1783.9830"
"98","Brazil","83.3800","215353.5930"
"99","Guyana","83.2300","794.0450"
"100","Colombia","83.1300","51512.7620"
"101","Venezuela","82.9900","29266.9910"
"102","Cayman Islands","82.2400","67.2770"
"103","Afghanistan","82.1200","40754.3880"
"104","Haiti","82.1000","11680.2830"
"106","United Arab Emirates","82.0500","10081.7850"
"105","Dominican Republic","82.0500","11056.3700"
"107","Puerto Rico","81.9900","2829.8120"
"108","North Macedonia","81.9100","2081.3040"
"109","Albania","81.7500","2866.3740"
"110","Lebanon","81.7000","6684.8490"
"111","Philippines","81.6400","112508.9940"
"112","Peru","81.4400","33684.2080"
"113","Northern Mariana Islands","81.3600","58.2690"
"114","Laos","80.9900","7481.0230"
"115","Libya","80.9200","7040.7450"
"116","Qatar","80.7800","2979.9150"
"117","Jordan","80.7000","10300.8690"
"118","Maldives","80.5400","540.9850"
