param_132,type,is_measured,normal_values,% of normal values,param dist.
464,AC,0,0.77,4,160
670,AC/DC,0,0.03,98,26
903,AC/DC,0,0.73,6,510
857,AC,0,0.4,47,802
7725,AC,1,0.58,31,729
965,AC/DC,0,0.82,9,332
6680,AC/DC,0,0.12,86,80
2725,AC,1,0.12,86,103
784,AC/DC,1,0.74,45,607
43,AC/DC,0,0.43,94,5
774,AC/DC,0,0.18,90,657
328,AC/DC,0,0.25,89,417
1957,AC,1,0.13,78,983
953,AC,0,0.01,90,909
560,AC/DC,0,0.55,19,121
7003,AC,1,0.13,52,749
461,AC/DC,0,0.19,2,850
16894,AC,1,0.27,42,764
19431,AC,1,0.78,68,721
6219,AC,0,0.35,44,426
700,AC/DC,0,0.68,61,696
5550,AC,1,0.28,31,524
63,AC/DC,0,0.46,61,794
30,AC/DC,0,0.67,22,833
953,AC/DC,1,0.23,91,540
7282,AC/DC,1,0.0,47,498
57,AC/DC,0,0.26,48,420
13955,AC,1,0.09,7,590
579,AC/DC,0,0.84,97,632
733,AC/DC,0,0.85,23,160
15471,AC,1,0.11,41,879
5929,AC,1,0.29,99,998
4309,AC,1,0.82,41,882
628,AC/DC,0,0.67,51,106
104,AC/DC,0,0.93,87,815
12211,AC,1,0.97,32,744
233,AC/DC,0,0.08,93,318
11128,AC,1,0.11,97,540
986,AC/DC,0,0.75,27,430
517,AC/DC,0,0.08,26,261
18596,AC,1,0.64,71,915
708,AC/DC,0,0.54,39,415
68,AC/DC,0,0.35,27,461
696,AC/DC,0,0.74,84,559
1116,AC,1,0.18,76,890
19549,AC,1,0.28,72,175
17512,AC,1,0.45,10,114
728,AC/DC,0,0.84,48,499
8470,AC,0,0.28,22,538
910,AC/DC,0,0.7,46,916
17932,AC/DC,0,0.07,8,205
6513,AC,1,0.77,36,399
937,AC/DC,0,0.34,29,285
6299,AC,1,0.78,94,441
17378,AC/DC,1,0.65,46,887
2599,AC,0,0.56,89,614
880,AC,0,0.21,70,388
3269,AC/DC,1,0.67,3,676
943,AC/DC,0,0.17,54,201
6396,AC,1,0.49,21,549
445,AC/DC,0,0.35,75,981
12473,AC,1,0.38,62,462
745,AC/DC,1,0.13,6,749
1129,AC,0,0.07,76,125
876,AC/DC,0,0.63,61,586
697,AC/DC,0,0.63,51,654
17,AC/DC,0,0.12,18,445
767,AC/DC,0,0.88,53,740
394,AC/DC,0,0.44,49,915
10586,AC,1,0.63,26,246
7304,AC,1,0.49,78,13
11890,AC,1,0.86,53,465
8558,AC,1,0.65,72,319
279,AC/DC,0,0.98,32,366
525,AC/DC,0,0.3,33,830
1613,AC,0,0.4,73,305
813,AC/DC,0,0.18,78,534
533,AC/DC,0,0.8,19,650
238,AC/DC,0,1.0,94,271
1889,AC,1,0.83,11,511
14758,AC,0,0.47,68,470
765,AC/DC,0,0.67,1,702
6731,AC,1,0.45,13,911
552,AC/DC,0,0.49,92,474
732,AC/DC,0,0.18,70,125
626,AC/DC,0,0.3,68,493
10217,AC,1,0.88,55,871
889,AC/DC,0,0.29,98,678
111,AC,0,0.19,85,686
127,AC/DC,0,0.36,30,993
872,AC/DC,0,0.59,48,739
4607,AC,1,0.05,59,159
615,AC/DC,0,0.84,30,951
3266,AC,1,0.94,48,837
18236,AC,1,0.35,56,556
8440,AC,0,0.8,76,296
11499,AC,1,0.81,99,426
774,AC/DC,0,0.0,26,573
579,AC/DC,0,0.97,41,288
9641,AC,1,0.17,77,304
2051,AC,1,0.03,54,179
